hryear4,pesex,peernlab,peerncov,peage,ptdtrace,pehspnon,peeduca,prcitshp,gestfips,pworwgt,peio1ocd
2009,2,2,2,59,1,2,43,1,20,56225705,3130
2009,2,2,2,45,1,2,43,1,20,52914020,3130
2009,2,2,2,44,1,2,43,1,21,74687211,3130
2009,2,2,2,50,2,2,41,1,21,112748465,3130
2009,1,2,2,61,1,2,42,1,21,66491191,3130
2009,2,2,2,32,1,2,43,1,22,124730538,3130
2009,2,2,2,28,2,2,41,1,22,119344634,3130
2009,2,2,2,42,1,2,41,1,23,19983104,3130
2009,2,1,-1,57,1,2,41,1,23,20046849,3130
2009,2,2,2,43,1,2,42,1,23,20268255,3130
2009,2,2,2,60,1,2,41,1,23,19035098,3130
2009,2,2,2,51,1,2,40,1,23,19897395,3130
2009,2,2,2,47,1,2,41,1,23,19073783,3130
2009,2,1,-1,37,1,2,41,1,23,22008755,3130
2009,2,2,2,40,1,2,42,1,23,20268255,3130
2009,2,1,-1,28,1,2,42,1,23,24247447,3130
2009,2,2,2,48,1,2,43,1,23,19102698,3130
2009,2,2,2,61,1,2,44,1,24,63935584,3130
2009,2,2,2,30,2,2,43,1,24,75363255,3130
2009,1,2,2,51,2,2,44,4,24,77817434,3130
2009,2,2,2,50,2,2,43,5,24,63863483,3130
2009,2,2,2,71,1,2,41,1,24,60217726,3130
2009,1,2,2,23,1,2,43,1,24,64852108,3130
2009,2,1,-1,47,2,2,43,4,24,80780058,3130
2009,2,1,-1,64,1,2,42,1,25,103504295,3130
2009,2,2,2,38,1,2,41,5,25,148320457,3130
2009,2,2,2,55,2,2,43,4,25,97480020,3130
2009,2,2,2,39,1,2,45,1,25,148320457,3130
2009,2,1,-1,50,1,2,43,1,25,108551200,3130
2009,2,2,2,47,1,2,43,4,25,111055156,3130
2009,2,2,1,45,1,2,44,1,25,111055156,3130
2009,2,1,-1,61,1,2,43,1,25,103846900,3130
2009,2,1,-1,44,1,2,43,1,25,136111331,3130
2009,2,2,2,45,1,2,43,1,25,111055156,3130
2009,2,2,2,56,1,2,41,1,25,109366554,3130
2009,2,2,2,56,1,2,44,1,25,116544057,3130
2009,2,1,-1,43,1,2,40,1,25,127728754,3130
2009,2,2,2,80,2,2,44,1,26,124535707,3130
2009,2,2,2,60,1,2,42,1,26,123613425,3130
2009,2,2,1,58,4,2,43,4,26,139957037,3130
2009,2,2,2,35,1,2,44,1,26,120626495,3130
2009,1,2,2,28,1,2,42,1,26,132914399,3130
2009,2,2,2,26,1,2,43,1,27,61577168,3130
2009,1,1,-1,59,1,2,41,1,27,71653323,3130
2009,2,2,1,49,1,2,44,1,27,56746844,3130
2009,2,1,-1,39,1,2,42,1,27,54913391,3130
2009,2,1,-1,39,1,2,42,1,27,54913391,3130
2009,2,1,-1,26,1,2,43,1,27,60179658,3130
2009,2,2,2,56,1,2,41,1,27,59237131,3130
2009,2,2,2,42,1,2,42,1,27,50303714,3130
2009,2,2,2,54,1,2,44,1,27,58795504,3130
2009,2,2,2,33,1,2,43,1,27,48981498,3130
2009,2,2,2,38,1,2,42,1,27,54623455,3130
2009,2,1,-1,59,1,2,42,1,27,60612754,3130
2009,2,2,2,57,1,2,41,1,27,59603035,3130
2009,2,2,2,28,1,2,43,1,27,60499086,3130
2009,2,2,2,39,1,2,43,1,28,106134242,3130
2009,2,2,2,68,2,2,42,1,28,88756355,3130
2009,2,2,1,28,1,2,42,1,28,115988089,3130
2009,2,2,2,46,1,2,41,1,28,78653192,3130
